 num     #instances         #bytes  class name (module)
 219:            85           3400  java.io.RandomAccessFile (java.base@23)
 220:            85           3400  jdk.internal.loader.URLClassPath$JarLoader (java.base@23)
 221:           141           3384  com.google.inject.internal.SingleParameterInjector
 222:            28           3360  java.lang.Thread (java.base@23)
 223:            83           3320  java.security.ProtectionDomain (java.base@23)
 224:           102           3264  org.codehaus.plexus.configuration.xml.XmlPlexusConfiguration
 225:            58           3248  org.glassfish.jersey.server.model.ResourceMethod$Data
 226:            58           3248  org.glassfish.jersey.server.model.ResourceMethodInvoker
 227:           135           3240  java.security.Provider$ServiceKey (java.base@23)
 228:           135           3240  java.util.Collections$UnmodifiableList (java.base@23)
 229:           190           3040  jdk.proxy2.$Proxy15 (jdk.proxy2)
 230:            63           3024  com.google.inject.internal.InstanceBindingImpl
 231:            34           2992  org.apache.maven.model.Build
 232:            62           2976  org.apache.maven.model.RepositoryPolicy
 233:           123           2952  java.util.concurrent.locks.ReentrantReadWriteLock (java.base@23)
 234:           184           2944  com.google.inject.internal.aop.ImmutableStringTrie
 235:            92           2944  org.eclipse.sisu.inject.LocatedBeans
 236:            61           2928  java.lang.invoke.LambdaFormEditor$Transform (java.base@23)
 237:           121           2904  org.eclipse.sisu.space.WildcardKey$QualifiedImpl
 238:           121           2904  sun.reflect.generics.tree.ClassSignature (java.base@23)
 239:           180           2880  com.google.inject.Key$AnnotationInstanceStrategy
 240:            72           2880  java.io.FilePermission (java.base@23)
 241:           179           2864  org.eclipse.sisu.inject.RankedSequence
 242:            51           2856  java.util.concurrent.ConcurrentHashMap$ValueIterator (java.base@23)
 243:            89           2848  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@23)
 244:            89           2848  org.eclipse.sisu.inject.RankedBindings
 245:            58           2784  org.glassfish.jersey.server.model.Invocable
 246:            69           2760  java.util.logging.Logger$ConfigurationData (java.logging@23)
 247:           115           2760  org.eclipse.sisu.plexus.PlexusRequirements$RequirementProvider
 248:           152           2752  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@23)
 249:            68           2720  java.io.ObjectStreamField (java.base@23)
 250:            85           2720  sun.nio.fs.UnixFileKey (java.base@23)
 251:           111           2664  java.util.Collections$SetFromMap (java.base@23)
 252:            83           2656  sun.nio.fs.UnixPath (java.base@23)
 253:           109           2616  java.util.zip.Inflater$InflaterZStreamRef (java.base@23)
 254:           163           2608  org.eclipse.sisu.bean.BeanPropertyField
 255:            54           2592  org.glassfish.jersey.server.model.Parameter
 256:           107           2568  org.jvnet.hk2.internal.IndexedListData
 257:           159           2544  java.util.concurrent.atomic.AtomicInteger (java.base@23)
 258:           105           2520  java.util.regex.Pattern$BmpCharProperty (java.base@23)
 259:            63           2520  org.eclipse.aether.internal.impl.collect.DataPool$GoodDescriptor
 260:           104           2496  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@23)
 261:            31           2480  org.apache.maven.model.Scm
 262:           103           2472  org.jvnet.hk2.internal.ClazzCreator$ResolutionInfo
 263:           121           2456  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@23)
 264:            60           2400  org.jvnet.hk2.internal.ServiceLocatorImpl$IgdCacheKey
 265:            37           2368  org.apache.maven.model.DeploymentRepository
 266:            97           2328  java.util.LinkedHashMap$LinkedEntrySet (java.base@23)
 267:            58           2320  org.apache.maven.artifact.handler.DefaultArtifactHandler
 268:            95           2280  java.lang.ProcessEnvironment$Value (java.base@23)
 269:            95           2280  java.lang.ProcessEnvironment$Variable (java.base@23)
 270:            70           2240  java.util.ArrayList$Itr (java.base@23)
 271:            10           2240  jdk.internal.org.objectweb.asm.MethodWriter (java.base@23)
 272:            40           2240  org.apache.commons.cli.Option
 273:            93           2232  javax.ws.rs.core.MediaType
 274:            92           2208  org.eclipse.sisu.inject.BeanCache
 275:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@23)
 276:            15           2160  [Ljava.lang.invoke.MemberName; (java.base@23)
 277:            89           2136  org.eclipse.sisu.inject.MildElements
 278:           133           2128  jdk.proxy2.$Proxy7 (jdk.proxy2)
 279:            53           2120  java.lang.reflect.Parameter (java.base@23)
 280:            44           2112  java.lang.StackFrameInfo (java.base@23)
 281:            33           2112  org.apache.maven.model.BuildBase
 282:            65           2080  org.jvnet.hk2.internal.IterableProviderImpl
 283:           128           2048  java.lang.Character (java.base@23)
 284:            64           2048  org.eclipse.sisu.plexus.RequirementImpl
 285:            85           2040  java.util.ImmutableCollections$List12 (java.base@23)
 286:            85           2040  java.util.zip.ZipFile$Source$Key (java.base@23)
 287:            28           2016  org.apache.maven.model.DistributionManagement
 288:            83           1992  org.eclipse.sisu.wire.BeanProviders$1
 289:           124           1984  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock (java.base@23)
 290:           124           1984  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter (java.base@23)
 291:           124           1984  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock (java.base@23)
 292:            62           1984  org.codehaus.plexus.component.repository.ComponentDependency
 293:            80           1920  java.util.regex.Pattern$GroupHead (java.base@23)
 294:            80           1920  java.util.regex.Pattern$GroupTail (java.base@23)
 295:            60           1920  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@23)
 296:            60           1920  org.jvnet.hk2.internal.CacheKey
 297:            60           1920  org.jvnet.hk2.internal.ServiceLocatorImpl$IgdValue
 298:            59           1888  java.util.concurrent.ConcurrentLinkedQueue$Itr (java.base@23)
 299:            47           1880  java.security.AccessControlContext (java.base@23)
 300:            58           1856  [Lorg.glassfish.jersey.server.internal.routing.Router;
 301:           116           1856  com.google.inject.name.NamedImpl
 302:            58           1856  java.util.regex.Pattern$BnM (java.base@23)
 303:           116           1856  jdk.proxy2.$Proxy5 (jdk.proxy2)
 304:           116           1856  jdk.proxy2.$Proxy8 (jdk.proxy2)
 305:            23           1840  sun.net.www.protocol.jar.URLJarFile (java.base@23)
 306:            87           1832  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@23)
 307:            57           1824  org.glassfish.jersey.server.model.internal.JavaResourceMethodDispatcherProvider$ResponseOutInvoker
 308:           113           1808  org.eclipse.sisu.inject.LazyBeanEntry$JsrNamed
 309:            64           1792  [Lcom.google.inject.internal.SingleParameterInjector;
 310:            74           1776  java.security.Permissions (java.base@23)
 311:           111           1776  java.util.WeakHashMap$KeySet (java.base@23)
 312:            37           1776  java.util.concurrent.ConcurrentHashMap$TreeNode (java.base@23)
 313:            74           1776  org.glassfish.hk2.utilities.ContextualInput
 314:            73           1752  java.util.Arrays$ArrayList (java.base@23)
 315:            72           1728  java.io.FilePermissionCollection (java.base@23)
 316:            43           1720  java.lang.Thread$FieldHolder (java.base@23)
 317:            71           1704  java.util.jar.Manifest (java.base@23)
 318:            13           1664  com.google.common.cache.LocalCache
 319:            52           1664  com.google.inject.internal.SingleFieldInjector
 320:            26           1664  org.apache.maven.model.Activation
 321:            41           1640  java.util.IdentityHashMap (java.base@23)
 322:            68           1632  java.security.Provider$UString (java.base@23)
 323:            51           1632  sun.reflect.annotation.AnnotationType (java.base@23)
 324:            67           1608  java.util.regex.Pattern$Slice (java.base@23)
